area,item,element,year,unit,value
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2005,kt,3265.046571
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2006,kt,3693.050067
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2007,kt,4118.758758
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2008,kt,4481.084307
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2009,kt,4812.342589
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2010,kt,5157.869868
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2011,kt,5480.60594
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2012,kt,5752.19707
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2013,kt,5894.900913
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2014,kt,5891.390615
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2015,kt,5761.192821
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2016,kt,5619.659211
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2017,kt,5437.20561
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2018,kt,5145.440841
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2019,kt,4793.781243
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2020,kt,4518.416889
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2021,kt,4269.374154
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2022,kt,4269.374154
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) from F-gases (AR5),2023,kt,4269.374154
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),1990,kt,77809.232365
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),1991,kt,79020.432438
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),1992,kt,79678.309919
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),1993,kt,73450.926091
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),1994,kt,71219.051561
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),1995,kt,69885.058709
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),1996,kt,71488.241354
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),1997,kt,68700.883416
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),1998,kt,72459.749622
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),1999,kt,66899.713225
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2000,kt,66867.80736
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2001,kt,68616.248906
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2002,kt,68734.90102
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2003,kt,69164.827098
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2004,kt,70347.604028
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2005,kt,79828.028297
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2006,kt,80868.107832
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2007,kt,68719.192228
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2008,kt,67508.855853
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2009,kt,62399.978967
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2010,kt,64603.126303
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2011,kt,62232.778299
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2012,kt,65111.492171
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2013,kt,63420.141731
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2014,kt,58896.34225
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2015,kt,55428.947455
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2016,kt,51224.736441
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2017,kt,49354.696236
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2018,kt,48917.758105
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2019,kt,47282.98441
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2020,kt,44395.65811
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2021,kt,45739.407704
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2022,kt,44143.404131
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,Emissions (CO2eq) (AR5),2023,kt,44171.58392
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",1990,TJ,239498.507666
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",1991,TJ,247295.966547
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",1992,TJ,261254.868698
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",1993,TJ,249714.843855
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",1994,TJ,304540.555599
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",1995,TJ,320474.930183
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",1996,TJ,360195.960193
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",1997,TJ,346977.309217
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",1998,TJ,355690.603522
United Kingdom of Great Britain and Northern Ireland,Pre- and post-production,"Energy Use (Natural Gas, including LNG)",1999,TJ,343351.219273
